,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,SDEV
0,ELPA_SUNN_in,0.017288195,0.018433902,0.020299352,0.02173894,0.022913474,0.024007929,0.02510513,0.026197557,0.027350934,0.028662495,0.030198975,0.03196316,0.033918294,0.035938114,0.037961934,0.039925446,0.041804553,0.043494603,0.008116176
1,ELPA_SUNN_out,16.40002571,15.13212796,16.06971521,17.35603722,19.0246226,20.87034611,22.74031535,24.68508132,26.84746477,29.35596481,32.18915312,35.27752213,38.46790853,41.66523839,44.76988551,47.67541873,50.31863729,52.62082792,12.70315426
2,ATLA_NASH_in,11.25621734,12.01429883,13.21511268,14.35326362,15.33661868,16.21096233,16.94528739,17.58255062,18.17793881,18.80789573,19.53416519,20.37580372,21.27446879,22.23618283,23.27300217,24.28470119,25.20869556,26.02656442,4.485089938
3,ATLA_NASH_out,16.11435482,16.07792417,16.65228071,17.41304933,18.39952578,19.41742381,20.3940471,21.39555939,22.5562529,23.97490859,25.72389924,27.73804791,29.91930516,32.17969735,34.40559561,36.46103988,38.30875953,39.89773228,8.05011828
4,CHIC_ECHI_in,19.1083543,19.94389964,22.41736471,25.07506481,27.13298008,28.57225438,29.56883115,30.30326087,30.9163272,31.47430111,32.03398179,32.62416428,33.27432896,33.98954768,34.78160939,35.65943981,36.62118027,37.66250758,5.477694125
5,CHIC_ECHI_out,12.00778752,13.07001762,14.82463078,16.77845366,18.39791861,19.65104229,20.62645748,21.40739234,22.0514919,22.59963617,23.08703206,23.55073359,24.01550763,24.50194073,25.03662811,25.63232921,26.30315253,27.05509105,4.515633545
6,HOUS_NASH_out,23.71296556,21.82996815,23.33026605,25.27093239,27.28814671,29.4370278,31.62945996,33.95839994,36.6251884,39.69766023,43.14731058,46.93182427,50.97468787,55.05701559,59.03041397,62.72623197,66.0557347,68.94861074,15.80315796
7,ELPA_HOUS_in,18.87474756,17.43239784,18.51090849,20.14097631,22.21189561,24.43626275,26.61642227,28.83912337,31.30094924,34.19318011,37.42670777,40.88817515,44.46408937,48.0433994,51.53650609,54.7759195,57.68815558,60.2374253,14.49601645
8,EASH_ECHI_in,9.761328927,10.87581255,12.28908728,13.86879622,15.16706159,16.17508881,16.98360317,17.64609534,18.19333307,18.64982117,19.04984359,19.41972172,19.78259861,20.16529706,20.59414033,21.08738694,21.65770417,22.3138448,3.714853266
9,EASH_ECHI_out,10.73492724,11.25839267,12.35830469,13.63266003,14.63081095,15.36563583,15.92691494,16.36429504,16.70355685,16.95876571,17.15088984,17.30535268,17.45351863,17.62140895,17.83063065,18.09887264,18.43730705,18.85752737,2.454727189
10,EASH_WASH_in,13.19059533,13.55932833,14.9035036,16.4830664,17.76055109,18.70771975,19.41904069,19.97679121,20.40970276,20.75247,21.0315347,21.27470714,21.51541821,21.7679273,22.05219117,22.38883716,22.78996127,23.26177437,3.126212253
11,EASH_WASH_out,10.48749826,11.63105152,13.13605781,14.80939207,16.16247623,17.19509656,17.99935423,18.64982742,19.18906513,19.64401324,20.04704433,20.42458089,20.80076465,21.20014282,21.64684414,22.15765956,22.74300192,23.40673719,3.810863877
,,,,,,,,,,,,,,,,,,,AVE,6.55380311