,sites,1,2,3,4,5,6,SDEV
0,ELPA_SUNN_in,0.960503498,0.944880857,0.914895186,0.860466264,0.789521005,0.719692744,0.094681815
1,ELPA_SUNN_out,0.921400328,0.894357799,0.838025534,0.733964816,0.59765303,0.463379285,0.180635914
2,ATLA_NASH_in,0.961492847,0.95208488,0.931519325,0.899536543,0.862554651,0.82889172,0.052401276
3,ATLA_NASH_out,0.898021768,0.885814824,0.845707917,0.768365293,0.667417107,0.56851313,0.131624687
4,CHIC_ECHI_in,0.978343522,0.976687197,0.966814632,0.952840172,0.93961413,0.930018305,0.019930618
5,CHIC_ECHI_out,0.962509869,0.960428917,0.947269389,0.927189228,0.907649079,0.893349128,0.028549582
6,HOUS_NASH_out,0.949534982,0.93520766,0.905840394,0.85408286,0.788391725,0.724841655,0.088548119
7,ELPA_HOUS_in,0.915457373,0.888814263,0.832188951,0.725169285,0.583388645,0.442907455,0.186541617
8,EASH_ECHI_in,0.962041209,0.960203073,0.947196634,0.927365186,0.908055124,0.893867298,0.028178791
9,EASH_ECHI_out,0.978278523,0.976865093,0.967206702,0.953434685,0.940344732,0.930782015,0.019621649
10,EASH_WASH_in,0.976653132,0.975225993,0.965216293,0.950929233,0.937454216,0.927739494,0.020239348
11,EASH_WASH_out,0.9604078,0.9579613,0.943879641,0.922571472,0.901831717,0.886589582,0.030412497
,,,,,,,AVE,0.073447159